id,left,top,right,bottom,row_index,col_index,최종_레이블_결과(2)_행정동,최종_레이블_결과(2)_클러스터링,최종_레이블_결과(2)_유동인구,최종_레이블_결과(2)_견인횟수,최종_레이블_결과(2)_유동인구_레이블,최종_레이블_결과(2)_견인횟수_레이블,최종_레이블_결과(2)_유동인구+견인횟수
2432,964426.095395894721150,1949084.899299999931827,964541.565449732705019,1948984.899299999931827,37,42,광장동,0,0,0,1,1,4
2433,964426.095395894721150,1948984.899299999931827,964541.565449732705019,1948884.899299999931827,38,42,광장동,0,0,1,1,1,4
2434,964426.095395894721150,1948884.899299999931827,964541.565449732705019,1948784.899299999931827,39,42,,,,,,,
2435,964426.095395894721150,1948784.899299999931827,964541.565449732705019,1948684.899299999931827,40,42,,,,,,,
2440,964426.095395894721150,1948284.899299999931827,964541.565449732705019,1948184.899299999931827,45,42,구의3동,0,0,0,1,0,2
2172,964079.685234380885959,1952284.899299999931827,964195.155288218869828,1952184.899299999931827,5,38,,,,,,,
2173,964079.685234380885959,1952184.899299999931827,964195.155288218869828,1952084.899299999931827,6,38,,,,,,,
2174,964079.685234380885959,1952084.899299999931827,964195.155288218869828,1951984.899299999931827,7,38,,,,,,,
2175,964079.685234380885959,1951984.899299999931827,964195.155288218869828,1951884.899299999931827,8,38,,,,,,,
2170,964079.685234380885959,1952484.899299999931827,964195.155288218869828,1952384.899299999931827,3,38,,,,,,,
2171,964079.685234380885959,1952384.899299999931827,964195.155288218869828,1952284.899299999931827,4,38,,,,,,,
2148,963993.082694002427161,1948934.899299999698997,964108.552747840411030,1948834.899299999931827,38,37,구의3동,0,0,0,1,0,2
2149,963993.082694002427161,1948834.899299999931827,964108.552747840411030,1948734.899299999698997,39,37,구의3동,0,0,2,1,0,2
2150,963993.082694002427161,1948734.899299999698997,964108.552747840411030,1948634.899299999931827,40,37,구의3동,1,0,0,0,2,6
2151,963993.082694002427161,1948634.899299999931827,964108.552747840411030,1948534.899299999698997,41,37,구의3동,1,0,0,0,2,6
2144,963993.082694002427161,1949334.899299999698997,964108.552747840411030,1949234.899299999931827,34,37,구의3동,0,0,0,1,0,2
2145,963993.082694002427161,1949234.899299999931827,964108.552747840411030,1949134.899299999698997,35,37,구의3동,0,0,0,1,0,2
2146,963993.082694002427161,1949134.899299999698997,964108.552747840411030,1949034.899299999931827,36,37,구의3동,0,0,0,1,0,2
2147,963993.082694002427161,1949034.899299999931827,964108.552747840411030,1948934.899299999698997,37,37,구의3동,0,0,0,1,0,2
2156,963993.082694002427161,1948134.899299999698997,964108.552747840411030,1948034.899299999931827,46,37,구의3동,1,0,0,0,2,6
2157,963993.082694002427161,1948034.899299999931827,964108.552747840411030,1947934.899299999698997,47,37,구의3동,1,0,0,0,2,6
2158,963993.082694002427161,1947934.899299999698997,964108.552747840411030,1947834.899299999931827,48,37,구의3동,1,0,0,0,2,6
2152,963993.082694002427161,1948534.899299999698997,964108.552747840411030,1948434.899299999931827,42,37,구의3동,1,0,3,0,2,6
2153,963993.082694002427161,1948434.899299999931827,964108.552747840411030,1948334.899299999698997,43,37,구의3동,1,0,0,0,2,6
2154,963993.082694002427161,1948334.899299999698997,964108.552747840411030,1948234.899299999931827,44,37,구의3동,1,0,0,0,2,6
2155,963993.082694002427161,1948234.899299999931827,964108.552747840411030,1948134.899299999698997,45,37,구의3동,1,0,0,0,2,6
2132,963993.082694002427161,1950534.899299999698997,964108.552747840411030,1950434.899299999931827,22,37,구의2동,0,361.083333333333,1,1,1,4
2133,963993.082694002427161,1950434.899299999931827,964108.552747840411030,1950334.899299999698997,23,37,구의2동,0,0,1,1,1,4
2134,963993.082694002427161,1950334.899299999698997,964108.552747840411030,1950234.899299999931827,24,37,구의2동,0,0,1,1,1,4
2135,963993.082694002427161,1950234.899299999931827,964108.552747840411030,1950134.899299999698997,25,37,구의2동,0,0,0,1,1,4
2128,963993.082694002427161,1950934.899299999698997,964108.552747840411030,1950834.899299999931827,18,37,,,,,,,
2129,963993.082694002427161,1950834.899299999931827,964108.552747840411030,1950734.899299999698997,19,37,,,,,,,
2130,963993.082694002427161,1950734.899299999698997,964108.552747840411030,1950634.899299999931827,20,37,,,,,,,
2131,963993.082694002427161,1950634.899299999931827,964108.552747840411030,1950534.899299999698997,21,37,,,,,,,
2140,963993.082694002427161,1949734.899299999698997,964108.552747840411030,1949634.899299999931827,30,37,구의2동,0,0,0,1,1,4
2141,963993.082694002427161,1949634.899299999931827,964108.552747840411030,1949534.899299999698997,31,37,구의2동,0,0,0,1,1,4
2142,963993.082694002427161,1949534.899299999698997,964108.552747840411030,1949434.899299999931827,32,37,광장동,0,0,1,1,1,4
2143,963993.082694002427161,1949434.899299999931827,964108.552747840411030,1949334.899299999698997,33,37,광장동,0,218.675925925926,0,1,1,4
2136,963993.082694002427161,1950134.899299999698997,964108.552747840411030,1950034.899299999931827,26,37,구의2동,0,573.583333333333,1,1,1,4
2137,963993.082694002427161,1950034.899299999931827,964108.552747840411030,1949934.899299999698997,27,37,구의2동,0,0,7,1,1,4
2138,963993.082694002427161,1949934.899299999698997,964108.552747840411030,1949834.899299999931827,28,37,구의2동,0,0,0,1,1,4
2139,963993.082694002427161,1949834.899299999931827,964108.552747840411030,1949734.899299999698997,29,37,구의2동,0,0,0,1,1,4
2116,963993.082694002427161,1952134.899299999698997,964108.552747840411030,1952034.899299999931827,6,37,,,,,,,
2117,963993.082694002427161,1952034.899299999931827,964108.552747840411030,1951934.899299999698997,7,37,,,,,,,
2118,963993.082694002427161,1951934.899299999698997,964108.552747840411030,1951834.899299999931827,8,37,,,,,,,
2119,963993.082694002427161,1951834.899299999931827,964108.552747840411030,1951734.899299999698997,9,37,,,,,,,
2113,963993.082694002427161,1952434.899299999931827,964108.552747840411030,1952334.899299999698997,3,37,,,,,,,
2114,963993.082694002427161,1952334.899299999698997,964108.552747840411030,1952234.899299999931827,4,37,,,,,,,
2115,963993.082694002427161,1952234.899299999931827,964108.552747840411030,1952134.899299999698997,5,37,,,,,,,
2124,963993.082694002427161,1951334.899299999698997,964108.552747840411030,1951234.899299999931827,14,37,,,,,,,
2125,963993.082694002427161,1951234.899299999931827,964108.552747840411030,1951134.899299999698997,15,37,,,,,,,
2126,963993.082694002427161,1951134.899299999698997,964108.552747840411030,1951034.899299999931827,16,37,,,,,,,
2127,963993.082694002427161,1951034.899299999931827,964108.552747840411030,1950934.899299999698997,17,37,,,,,,,
2120,963993.082694002427161,1951734.899299999698997,964108.552747840411030,1951634.899299999931827,10,37,,,,,,,
2121,963993.082694002427161,1951634.899299999931827,964108.552747840411030,1951534.899299999698997,11,37,,,,,,,
2122,963993.082694002427161,1951534.899299999698997,964108.552747840411030,1951434.899299999931827,12,37,,,,,,,
2123,963993.082694002427161,1951434.899299999931827,964108.552747840411030,1951334.899299999698997,13,37,,,,,,,
2100,963906.480153623968363,1948084.899299999931827,964021.950207461952232,1947984.899299999931827,47,36,자양2동,2,0,0,0,0,1
2101,963906.480153623968363,1947984.899299999931827,964021.950207461952232,1947884.899299999931827,48,36,구의3동,1,0,0,0,2,6
2102,963906.480153623968363,1947884.899299999931827,964021.950207461952232,1947784.899299999931827,49,36,구의3동,1,0,0,0,2,6
2103,963906.480153623968363,1947784.899299999931827,964021.950207461952232,1947684.899299999931827,50,36,구의3동,1,0,0,0,2,6
2096,963906.480153623968363,1948484.899299999931827,964021.950207461952232,1948384.899299999931827,43,36,구의3동,1,242.944444444444,4,0,2,6
2097,963906.480153623968363,1948384.899299999931827,964021.950207461952232,1948284.899299999931827,44,36,구의3동,1,0,0,0,2,6
2098,963906.480153623968363,1948284.899299999931827,964021.950207461952232,1948184.899299999931827,45,36,자양2동,2,0,0,0,0,1
2099,963906.480153623968363,1948184.899299999931827,964021.950207461952232,1948084.899299999931827,46,36,자양2동,2,0,0,0,0,1
2084,963906.480153623968363,1949684.899299999931827,964021.950207461952232,1949584.899299999931827,31,36,구의2동,0,0,0,1,1,4
2085,963906.480153623968363,1949584.899299999931827,964021.950207461952232,1949484.899299999931827,32,36,구의3동,0,0,4,1,0,2
2086,963906.480153623968363,1949484.899299999931827,964021.950207461952232,1949384.899299999931827,33,36,구의3동,0,0,0,1,0,2
2087,963906.480153623968363,1949384.899299999931827,964021.950207461952232,1949284.899299999931827,34,36,구의3동,0,0,0,1,0,2
2080,963906.480153623968363,1950084.899299999931827,964021.950207461952232,1949984.899299999931827,27,36,구의2동,0,0,12,1,1,4
2081,963906.480153623968363,1949984.899299999931827,964021.950207461952232,1949884.899299999931827,28,36,구의2동,0,0,3,1,1,4
2082,963906.480153623968363,1949884.899299999931827,964021.950207461952232,1949784.899299999931827,29,36,구의2동,0,0,0,1,1,4
2083,963906.480153623968363,1949784.899299999931827,964021.950207461952232,1949684.899299999931827,30,36,구의2동,0,0,0,1,1,4
2092,963906.480153623968363,1948884.899299999931827,964021.950207461952232,1948784.899299999931827,39,36,구의3동,0,54.9722222222222,0,1,0,2
2093,963906.480153623968363,1948784.899299999931827,964021.950207461952232,1948684.899299999931827,40,36,구의3동,0,0,0,1,0,2
2094,963906.480153623968363,1948684.899299999931827,964021.950207461952232,1948584.899299999931827,41,36,구의3동,1,0,0,0,2,6
2095,963906.480153623968363,1948584.899299999931827,964021.950207461952232,1948484.899299999931827,42,36,구의3동,1,497.138888888889,2,0,2,6
2088,963906.480153623968363,1949284.899299999931827,964021.950207461952232,1949184.899299999931827,35,36,구의3동,0,0,0,1,0,2
2089,963906.480153623968363,1949184.899299999931827,964021.950207461952232,1949084.899299999931827,36,36,구의3동,0,0,0,1,0,2
2090,963906.480153623968363,1949084.899299999931827,964021.950207461952232,1948984.899299999931827,37,36,구의3동,0,0,0,1,0,2
2091,963906.480153623968363,1948984.899299999931827,964021.950207461952232,1948884.899299999931827,38,36,구의3동,0,724.041666666667,8,1,0,2
2068,963906.480153623968363,1951284.899299999931827,964021.950207461952232,1951184.899299999931827,15,36,,,,,,,
2069,963906.480153623968363,1951184.899299999931827,964021.950207461952232,1951084.899299999931827,16,36,,,,,,,
2070,963906.480153623968363,1951084.899299999931827,964021.950207461952232,1950984.899299999931827,17,36,,,,,,,
2071,963906.480153623968363,1950984.899299999931827,964021.950207461952232,1950884.899299999931827,18,36,,,,,,,
2064,963906.480153623968363,1951684.899299999931827,964021.950207461952232,1951584.899299999931827,11,36,,,,,,,
2065,963906.480153623968363,1951584.899299999931827,964021.950207461952232,1951484.899299999931827,12,36,,,,,,,
2066,963906.480153623968363,1951484.899299999931827,964021.950207461952232,1951384.899299999931827,13,36,,,,,,,
2067,963906.480153623968363,1951384.899299999931827,964021.950207461952232,1951284.899299999931827,14,36,,,,,,,
2076,963906.480153623968363,1950484.899299999931827,964021.950207461952232,1950384.899299999931827,23,36,구의2동,0,0,0,1,1,4
2077,963906.480153623968363,1950384.899299999931827,964021.950207461952232,1950284.899299999931827,24,36,구의2동,0,442.138888888889,0,1,1,4
2078,963906.480153623968363,1950284.899299999931827,964021.950207461952232,1950184.899299999931827,25,36,구의2동,0,0,0,1,1,4
2079,963906.480153623968363,1950184.899299999931827,964021.950207461952232,1950084.899299999931827,26,36,구의2동,0,0,0,1,1,4
2072,963906.480153623968363,1950884.899299999931827,964021.950207461952232,1950784.899299999931827,19,36,,,,,,,
2073,963906.480153623968363,1950784.899299999931827,964021.950207461952232,1950684.899299999931827,20,36,,,,,,,
2074,963906.480153623968363,1950684.899299999931827,964021.950207461952232,1950584.899299999931827,21,36,,,,,,,
2075,963906.480153623968363,1950584.899299999931827,964021.950207461952232,1950484.899299999931827,22,36,구의2동,0,0,0,1,1,4
2060,963906.480153623968363,1952084.899299999931827,964021.950207461952232,1951984.899299999931827,7,36,,,,,,,
2061,963906.480153623968363,1951984.899299999931827,964021.950207461952232,1951884.899299999931827,8,36,,,,,,,
2062,963906.480153623968363,1951884.899299999931827,964021.950207461952232,1951784.899299999931827,9,36,,,,,,,
2063,963906.480153623968363,1951784.899299999931827,964021.950207461952232,1951684.899299999931827,10,36,,,,,,,
2056,963906.480153623968363,1952484.899299999931827,964021.950207461952232,1952384.899299999931827,3,36,,,,,,,
2057,963906.480153623968363,1952384.899299999931827,964021.950207461952232,1952284.899299999931827,4,36,,,,,,,
2058,963906.480153623968363,1952284.899299999931827,964021.950207461952232,1952184.899299999931827,5,36,,,,,,,
